Employee_ID,Job_Role,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Access_to_Mental_Health_Resources,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality
EMP0001,HR,47,7,2,2,0,Unsatisfied,1,1.0,3
EMP0002,Data Scientist,52,4,1,2,0,Satisfied,2,1.0,3
EMP0003,Software Engineer,46,11,5,2,0,Unsatisfied,5,,1
EMP0004,Software Engineer,32,8,4,3,1,Unsatisfied,3,,1
EMP0005,Sales,35,12,2,3,1,Unsatisfied,3,1.0,2
EMP0006,Sales,39,3,4,3,0,Unsatisfied,1,,2
EMP0007,Sales,51,7,3,1,1,Neutral,3,2.0,1
EMP0008,Data Scientist,54,7,3,2,0,Satisfied,4,,2
EMP0009,Data Scientist,24,4,2,3,1,Unsatisfied,4,2.0,1
EMP0010,HR,57,6,1,1,1,Neutral,1,1.0,1
EMP0011,Software Engineer,48,3,3,3,1,Satisfied,2,1.0,2
EMP0012,Marketing,26,12,4,2,1,Neutral,3,1.0,1
EMP0013,Marketing,21,7,2,3,1,Neutral,1,1.0,3
EMP0014,Designer,45,13,1,1,0,Satisfied,5,1.0,1
EMP0015,Project Manager,59,11,3,3,1,Neutral,3,1.0,2
EMP0016,Sales,44,11,4,1,0,Satisfied,4,1.0,2
EMP0017,HR,52,9,2,2,0,Satisfied,1,1.0,3
EMP0018,Data Scientist,37,8,3,1,1,Neutral,5,1.0,3
EMP0019,Software Engineer,36,6,1,3,0,Satisfied,2,1.0,3
EMP0020,Software Engineer,59,4,3,2,0,Neutral,1,2.0,2
EMP0021,Sales,21,1,2,1,0,Satisfied,1,1.0,1
EMP0022,Sales,54,12,3,2,0,Unsatisfied,4,2.0,1
EMP0023,Sales,57,1,3,1,1,Satisfied,4,2.0,2
EMP0024,Marketing,22,12,5,1,0,Neutral,3,1.0,1
EMP0025,Sales,54,15,3,1,0,Neutral,4,2.0,2
EMP0026,Project Manager,21,14,4,3,0,Neutral,3,,3
EMP0027,Project Manager,24,12,3,3,0,Unsatisfied,4,,1
EMP0028,Project Manager,56,4,4,1,0,Unsatisfied,4,,1
EMP0029,Sales,33,10,3,3,1,Satisfied,1,2.0,1
EMP0030,Software Engineer,25,15,2,3,1,Satisfied,1,1.0,1
EMP0031,Data Scientist,20,11,1,1,1,Neutral,2,1.0,2
EMP0032,Marketing,33,14,2,2,0,Satisfied,5,,2
EMP0033,Project Manager,20,14,2,2,1,Satisfied,5,2.0,3
EMP0034,Software Engineer,26,9,3,2,1,Neutral,4,2.0,2
EMP0035,Designer,22,6,4,2,0,Unsatisfied,3,1.0,2
EMP0036,Sales,57,8,4,1,1,Neutral,5,,1
EMP0037,Sales,30,12,1,1,1,Satisfied,3,,1
EMP0038,Designer,47,14,2,1,1,Satisfied,5,2.0,3
EMP0039,Sales,48,12,4,1,1,Neutral,1,1.0,2
EMP0040,Marketing,20,1,3,3,0,Unsatisfied,5,1.0,1
EMP0041,Data Scientist,44,15,4,3,0,Neutral,5,2.0,1
EMP0042,Project Manager,29,13,2,1,0,Unsatisfied,5,,3
EMP0043,Project Manager,58,6,3,3,1,Unsatisfied,3,1.0,1
EMP0044,Designer,53,12,4,2,1,Unsatisfied,3,,2
EMP0045,HR,23,6,3,3,1,Neutral,2,2.0,3
EMP0046,Marketing,42,8,2,2,0,Neutral,3,2.0,1
EMP0047,Data Scientist,35,15,1,2,1,Unsatisfied,5,1.0,3
EMP0048,Sales,39,2,5,3,0,Unsatisfied,4,,3
EMP0049,HR,29,9,4,1,0,Neutral,3,2.0,1
EMP0050,Project Manager,37,3,4,2,0,Satisfied,3,,2
EMP0051,HR,28,10,4,3,1,Satisfied,4,2.0,3
EMP0052,Sales,31,9,5,1,0,Satisfied,1,,3
EMP0053,Software Engineer,26,14,3,2,0,Satisfied,2,2.0,3
EMP0054,Project Manager,46,15,2,2,1,Neutral,1,,2
EMP0055,Software Engineer,55,6,1,2,1,Satisfied,1,2.0,1
EMP0056,Project Manager,47,12,3,1,0,Neutral,5,2.0,3
EMP0057,Software Engineer,48,13,5,1,1,Neutral,5,,3
EMP0058,HR,49,6,5,1,0,Satisfied,3,,2
EMP0059,Designer,51,4,1,1,0,Unsatisfied,3,2.0,2
EMP0060,Data Scientist,57,13,2,2,1,Satisfied,5,2.0,1
EMP0061,Sales,33,14,4,2,1,Unsatisfied,2,2.0,3
EMP0062,Sales,30,15,2,2,1,Unsatisfied,5,2.0,3
EMP0063,Project Manager,28,4,3,2,0,Satisfied,2,,1
EMP0064,Software Engineer,31,15,3,2,1,Satisfied,5,,3
EMP0065,Data Scientist,37,0,4,2,0,Unsatisfied,2,,3
EMP0066,HR,31,3,4,2,1,Satisfied,4,1.0,1
EMP0067,Software Engineer,46,3,1,2,0,Satisfied,2,2.0,3
EMP0068,Marketing,20,6,2,3,1,Unsatisfied,4,1.0,1
EMP0069,Designer,51,8,2,3,1,Neutral,1,2.0,2
EMP0070,Marketing,28,13,2,1,0,Neutral,1,2.0,3
EMP0071,Marketing,39,4,4,2,0,Satisfied,1,1.0,2
EMP0072,Designer,29,13,1,2,1,Neutral,2,1.0,2
EMP0073,Designer,30,14,5,3,1,Unsatisfied,1,1.0,3
EMP0074,Software Engineer,53,7,3,3,1,Neutral,1,,1
EMP0075,Project Manager,57,10,2,2,0,Neutral,3,1.0,1
EMP0076,Marketing,49,3,5,3,1,Satisfied,3,,3
EMP0077,HR,55,8,4,3,0,Unsatisfied,2,1.0,3
EMP0078,Marketing,37,10,5,2,1,Satisfied,1,2.0,2
EMP0079,Data Scientist,51,5,2,3,1,Neutral,1,2.0,2
EMP0080,Project Manager,21,7,5,1,0,Unsatisfied,3,1.0,2
EMP0081,Data Scientist,21,10,3,3,0,Satisfied,4,,1
EMP0082,Software Engineer,44,9,4,3,1,Neutral,2,2.0,1
EMP0083,HR,26,10,3,3,1,Unsatisfied,2,1.0,3
EMP0084,Project Manager,43,6,4,3,1,Unsatisfied,3,,1
EMP0085,Designer,42,14,4,1,1,Unsatisfied,5,,3
EMP0086,Designer,44,8,4,1,0,Unsatisfied,4,2.0,1
EMP0087,Project Manager,27,0,1,1,0,Satisfied,1,1.0,1
EMP0088,Data Scientist,43,5,1,2,1,Unsatisfied,2,1.0,1
EMP0089,Designer,38,0,5,3,1,Neutral,2,,1
EMP0090,Marketing,38,4,4,1,1,Unsatisfied,4,2.0,1
EMP0091,Data Scientist,57,4,4,2,0,Unsatisfied,2,1.0,2
EMP0092,Software Engineer,60,3,1,3,0,Satisfied,5,1.0,3
EMP0093,Data Scientist,29,0,5,2,0,Satisfied,5,,1
EMP0094,Data Scientist,54,12,4,3,1,Satisfied,4,,2
EMP0095,Project Manager,31,11,5,3,0,Neutral,4,1.0,2
EMP0096,Project Manager,54,8,5,1,0,Satisfied,3,,3
EMP0097,Data Scientist,33,11,1,3,0,Neutral,5,1.0,1
EMP0098,Designer,25,1,4,1,0,Neutral,3,1.0,2
EMP0099,Data Scientist,21,15,1,1,0,Satisfied,5,2.0,3
EMP0100,Project Manager,45,10,2,2,0,Satisfied,4,2.0,3
EMP0101,Designer,53,5,1,2,0,Satisfied,1,,1
EMP0102,Sales,46,12,1,3,0,Neutral,2,2.0,1
EMP0103,Sales,22,9,4,3,0,Satisfied,4,,3
EMP0104,Software Engineer,60,12,4,3,1,Satisfied,5,,3
EMP0105,Designer,42,2,4,1,1,Satisfied,3,1.0,2
EMP0106,Data Scientist,60,2,3,3,1,Neutral,3,2.0,3
EMP0107,HR,35,14,1,2,1,Neutral,2,2.0,3
EMP0108,Software Engineer,44,2,2,3,0,Satisfied,5,1.0,1
EMP0109,Software Engineer,50,2,4,2,0,Satisfied,2,1.0,1
EMP0110,Data Scientist,22,7,5,1,0,Neutral,5,2.0,3
EMP0111,Data Scientist,29,13,3,3,1,Unsatisfied,5,1.0,2
EMP0112,HR,34,8,5,1,0,Unsatisfied,1,1.0,3
EMP0113,Marketing,30,7,1,1,1,Satisfied,5,,1
EMP0114,Data Scientist,53,0,3,1,1,Neutral,5,2.0,1
EMP0115,Designer,29,5,2,3,0,Neutral,3,,1
EMP0116,Marketing,27,1,3,2,1,Unsatisfied,3,1.0,3
EMP0117,Project Manager,44,14,3,2,0,Satisfied,3,2.0,3
EMP0118,Data Scientist,42,13,2,3,0,Satisfied,3,2.0,3
EMP0119,Data Scientist,22,4,2,2,1,Satisfied,3,2.0,2
EMP0120,Project Manager,34,13,2,2,1,Unsatisfied,5,2.0,2
EMP0121,Project Manager,51,13,2,3,0,Neutral,5,2.0,2
EMP0122,Marketing,48,6,5,3,1,Unsatisfied,3,,3
EMP0123,Software Engineer,30,10,2,3,1,Unsatisfied,1,,3
EMP0124,Sales,59,7,2,1,1,Satisfied,5,1.0,2
EMP0125,HR,26,14,2,3,1,Unsatisfied,4,2.0,2
EMP0126,Data Scientist,60,1,3,1,0,Unsatisfied,4,,2
EMP0127,Marketing,38,2,2,2,1,Unsatisfied,1,2.0,3
EMP0128,Project Manager,34,0,5,3,1,Unsatisfied,2,,2
EMP0129,Designer,46,12,4,2,0,Unsatisfied,2,2.0,1
