Job_Role,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Access_to_Mental_Health_Resources,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,meetings_per_hour
HR,47,7,2,2,0,Unsatisfied,1,1.0,3,0.14893617021276595
Data Scientist,52,4,1,2,0,Satisfied,2,1.0,3,0.07692307692307693
Software Engineer,46,11,5,2,0,Unsatisfied,5,,1,0.2391304347826087
Software Engineer,32,8,4,3,1,Unsatisfied,3,,1,0.25
Sales,35,12,2,3,1,Unsatisfied,3,1.0,2,0.34285714285714286
Sales,39,3,4,3,0,Unsatisfied,1,,2,0.07692307692307693
Sales,51,7,3,1,1,Neutral,3,2.0,1,0.13725490196078433
Data Scientist,54,7,3,2,0,Satisfied,4,,2,0.12962962962962962
Data Scientist,24,4,2,3,1,Unsatisfied,4,2.0,1,0.16666666666666666
HR,57,6,1,1,1,Neutral,1,1.0,1,0.10526315789473684
Software Engineer,48,3,3,3,1,Satisfied,2,1.0,2,0.0625
Marketing,26,12,4,2,1,Neutral,3,1.0,1,0.46153846153846156
Marketing,21,7,2,3,1,Neutral,1,1.0,3,0.3333333333333333
Designer,45,13,1,1,0,Satisfied,5,1.0,1,0.28888888888888886
Project Manager,59,11,3,3,1,Neutral,3,1.0,2,0.1864406779661017
Sales,44,11,4,1,0,Satisfied,4,1.0,2,0.25
HR,52,9,2,2,0,Satisfied,1,1.0,3,0.17307692307692307
Data Scientist,37,8,3,1,1,Neutral,5,1.0,3,0.21621621621621623
Software Engineer,36,6,1,3,0,Satisfied,2,1.0,3,0.16666666666666666
Software Engineer,59,4,3,2,0,Neutral,1,2.0,2,0.06779661016949153
Sales,21,1,2,1,0,Satisfied,1,1.0,1,0.047619047619047616
Sales,54,12,3,2,0,Unsatisfied,4,2.0,1,0.2222222222222222
Sales,57,1,3,1,1,Satisfied,4,2.0,2,0.017543859649122806
Marketing,22,12,5,1,0,Neutral,3,1.0,1,0.5454545454545454
Sales,54,15,3,1,0,Neutral,4,2.0,2,0.2777777777777778
Project Manager,21,14,4,3,0,Neutral,3,,3,0.6666666666666666
Project Manager,24,12,3,3,0,Unsatisfied,4,,1,0.5
Project Manager,56,4,4,1,0,Unsatisfied,4,,1,0.07142857142857142
Sales,33,10,3,3,1,Satisfied,1,2.0,1,0.30303030303030304
Software Engineer,25,15,2,3,1,Satisfied,1,1.0,1,0.6
Data Scientist,20,11,1,1,1,Neutral,2,1.0,2,0.55
Marketing,33,14,2,2,0,Satisfied,5,,2,0.42424242424242425
Project Manager,20,14,2,2,1,Satisfied,5,2.0,3,0.7
Software Engineer,26,9,3,2,1,Neutral,4,2.0,2,0.34615384615384615
Designer,22,6,4,2,0,Unsatisfied,3,1.0,2,0.2727272727272727
Sales,57,8,4,1,1,Neutral,5,,1,0.14035087719298245
Sales,30,12,1,1,1,Satisfied,3,,1,0.4
Designer,47,14,2,1,1,Satisfied,5,2.0,3,0.2978723404255319
Sales,48,12,4,1,1,Neutral,1,1.0,2,0.25
Marketing,20,1,3,3,0,Unsatisfied,5,1.0,1,0.05
Data Scientist,44,15,4,3,0,Neutral,5,2.0,1,0.3409090909090909
Project Manager,29,13,2,1,0,Unsatisfied,5,,3,0.4482758620689655
Project Manager,58,6,3,3,1,Unsatisfied,3,1.0,1,0.10344827586206896
Designer,53,12,4,2,1,Unsatisfied,3,,2,0.22641509433962265
HR,23,6,3,3,1,Neutral,2,2.0,3,0.2608695652173913
Marketing,42,8,2,2,0,Neutral,3,2.0,1,0.19047619047619047
Data Scientist,35,15,1,2,1,Unsatisfied,5,1.0,3,0.42857142857142855
Sales,39,2,5,3,0,Unsatisfied,4,,3,0.05128205128205128
HR,29,9,4,1,0,Neutral,3,2.0,1,0.3103448275862069
Project Manager,37,3,4,2,0,Satisfied,3,,2,0.08108108108108109
HR,28,10,4,3,1,Satisfied,4,2.0,3,0.35714285714285715
Sales,31,9,5,1,0,Satisfied,1,,3,0.2903225806451613
Software Engineer,26,14,3,2,0,Satisfied,2,2.0,3,0.5384615384615384
Project Manager,46,15,2,2,1,Neutral,1,,2,0.32608695652173914
Software Engineer,55,6,1,2,1,Satisfied,1,2.0,1,0.10909090909090909
Project Manager,47,12,3,1,0,Neutral,5,2.0,3,0.2553191489361702
Software Engineer,48,13,5,1,1,Neutral,5,,3,0.2708333333333333
HR,49,6,5,1,0,Satisfied,3,,2,0.12244897959183673
Designer,51,4,1,1,0,Unsatisfied,3,2.0,2,0.0784313725490196
Data Scientist,57,13,2,2,1,Satisfied,5,2.0,1,0.22807017543859648
Sales,33,14,4,2,1,Unsatisfied,2,2.0,3,0.42424242424242425
Sales,30,15,2,2,1,Unsatisfied,5,2.0,3,0.5
Project Manager,28,4,3,2,0,Satisfied,2,,1,0.14285714285714285
Software Engineer,31,15,3,2,1,Satisfied,5,,3,0.4838709677419355
Data Scientist,37,0,4,2,0,Unsatisfied,2,,3,0.0
HR,31,3,4,2,1,Satisfied,4,1.0,1,0.0967741935483871
Software Engineer,46,3,1,2,0,Satisfied,2,2.0,3,0.06521739130434782
Marketing,20,6,2,3,1,Unsatisfied,4,1.0,1,0.3
Designer,51,8,2,3,1,Neutral,1,2.0,2,0.1568627450980392
Marketing,28,13,2,1,0,Neutral,1,2.0,3,0.4642857142857143
Marketing,39,4,4,2,0,Satisfied,1,1.0,2,0.10256410256410256
Designer,29,13,1,2,1,Neutral,2,1.0,2,0.4482758620689655
Designer,30,14,5,3,1,Unsatisfied,1,1.0,3,0.4666666666666667
Software Engineer,53,7,3,3,1,Neutral,1,,1,0.1320754716981132
Project Manager,57,10,2,2,0,Neutral,3,1.0,1,0.17543859649122806
Marketing,49,3,5,3,1,Satisfied,3,,3,0.061224489795918366
HR,55,8,4,3,0,Unsatisfied,2,1.0,3,0.14545454545454545
Marketing,37,10,5,2,1,Satisfied,1,2.0,2,0.2702702702702703
Data Scientist,51,5,2,3,1,Neutral,1,2.0,2,0.09803921568627451
Project Manager,21,7,5,1,0,Unsatisfied,3,1.0,2,0.3333333333333333
Data Scientist,21,10,3,3,0,Satisfied,4,,1,0.47619047619047616
Software Engineer,44,9,4,3,1,Neutral,2,2.0,1,0.20454545454545456
HR,26,10,3,3,1,Unsatisfied,2,1.0,3,0.38461538461538464
Project Manager,43,6,4,3,1,Unsatisfied,3,,1,0.13953488372093023
Designer,42,14,4,1,1,Unsatisfied,5,,3,0.3333333333333333
Designer,44,8,4,1,0,Unsatisfied,4,2.0,1,0.18181818181818182
Project Manager,27,0,1,1,0,Satisfied,1,1.0,1,0.0
Data Scientist,43,5,1,2,1,Unsatisfied,2,1.0,1,0.11627906976744186
Designer,38,0,5,3,1,Neutral,2,,1,0.0
Marketing,38,4,4,1,1,Unsatisfied,4,2.0,1,0.10526315789473684
Data Scientist,57,4,4,2,0,Unsatisfied,2,1.0,2,0.07017543859649122
Software Engineer,60,3,1,3,0,Satisfied,5,1.0,3,0.05
Data Scientist,29,0,5,2,0,Satisfied,5,,1,0.0
Data Scientist,54,12,4,3,1,Satisfied,4,,2,0.2222222222222222
Project Manager,31,11,5,3,0,Neutral,4,1.0,2,0.3548387096774194
Project Manager,54,8,5,1,0,Satisfied,3,,3,0.14814814814814814
Data Scientist,33,11,1,3,0,Neutral,5,1.0,1,0.3333333333333333
Designer,25,1,4,1,0,Neutral,3,1.0,2,0.04
Data Scientist,21,15,1,1,0,Satisfied,5,2.0,3,0.7142857142857143
Project Manager,45,10,2,2,0,Satisfied,4,2.0,3,0.2222222222222222
Designer,53,5,1,2,0,Satisfied,1,,1,0.09433962264150944
Sales,46,12,1,3,0,Neutral,2,2.0,1,0.2608695652173913
Sales,22,9,4,3,0,Satisfied,4,,3,0.4090909090909091
Software Engineer,60,12,4,3,1,Satisfied,5,,3,0.2
Designer,42,2,4,1,1,Satisfied,3,1.0,2,0.047619047619047616
Data Scientist,60,2,3,3,1,Neutral,3,2.0,3,0.03333333333333333
HR,35,14,1,2,1,Neutral,2,2.0,3,0.4
Software Engineer,44,2,2,3,0,Satisfied,5,1.0,1,0.045454545454545456
Software Engineer,50,2,4,2,0,Satisfied,2,1.0,1,0.04
Data Scientist,22,7,5,1,0,Neutral,5,2.0,3,0.3181818181818182
Data Scientist,29,13,3,3,1,Unsatisfied,5,1.0,2,0.4482758620689655
HR,34,8,5,1,0,Unsatisfied,1,1.0,3,0.23529411764705882
Marketing,30,7,1,1,1,Satisfied,5,,1,0.23333333333333334
Data Scientist,53,0,3,1,1,Neutral,5,2.0,1,0.0
Designer,29,5,2,3,0,Neutral,3,,1,0.1724137931034483
Marketing,27,1,3,2,1,Unsatisfied,3,1.0,3,0.037037037037037035
Project Manager,44,14,3,2,0,Satisfied,3,2.0,3,0.3181818181818182
Data Scientist,42,13,2,3,0,Satisfied,3,2.0,3,0.30952380952380953
Data Scientist,22,4,2,2,1,Satisfied,3,2.0,2,0.18181818181818182
Project Manager,34,13,2,2,1,Unsatisfied,5,2.0,2,0.38235294117647056
Project Manager,51,13,2,3,0,Neutral,5,2.0,2,0.2549019607843137
Marketing,48,6,5,3,1,Unsatisfied,3,,3,0.125
Software Engineer,30,10,2,3,1,Unsatisfied,1,,3,0.3333333333333333
Sales,59,7,2,1,1,Satisfied,5,1.0,2,0.11864406779661017
HR,26,14,2,3,1,Unsatisfied,4,2.0,2,0.5384615384615384
Data Scientist,60,1,3,1,0,Unsatisfied,4,,2,0.016666666666666666
Marketing,38,2,2,2,1,Unsatisfied,1,2.0,3,0.05263157894736842
Project Manager,34,0,5,3,1,Unsatisfied,2,,2,0.0
Designer,46,12,4,2,0,Unsatisfied,2,2.0,1,0.2608695652173913
Sales,35,2,3,1,1,Unsatisfied,3,,2,0.05714285714285714
Designer,23,9,1,2,0,Neutral,5,1.0,3,0.391304347826087
Marketing,28,15,5,1,1,Unsatisfied,4,1.0,2,0.5357142857142857
Marketing,57,10,3,2,0,Neutral,2,1.0,3,0.17543859649122806
Marketing,29,4,1,1,1,Satisfied,2,1.0,3,0.13793103448275862
Marketing,39,1,4,2,0,Unsatisfied,2,1.0,1,0.02564102564102564
Marketing,46,4,5,2,0,Unsatisfied,5,,3,0.08695652173913043
Data Scientist,26,9,2,3,0,Neutral,5,2.0,3,0.34615384615384615
Sales,32,4,4,2,1,Satisfied,5,1.0,1,0.125
